found: 535
size 3084 cubes 
size 510 bigP 3643
19^3 = 6859 =  a:3 b:10 c:18
2647^3 = 18546494023 =  a:788 b:1654 c:2383
2657^3 = 18757487393 =  a:956 b:1761 c:2316
2659^3 = 18799877179 =  a:124 b:1627 c:2438
2663^3 = 18884848247 =  a:1295 b:1977 c:2079
2671^3 = 19055557711 =  a:1735 b:1740 c:2046
2671^3 = 19055557711 =  a:459 b:2043 c:2185
2677^3 = 19184262733 =  a:461 b:1828 c:2350
2677^3 = 19184262733 =  a:693 b:852 c:2632
2683^3 = 19313545987 =  a:270 b:1683 c:2440
2687^3 = 19400056703 =  a:1022 b:1032 c:2583
2687^3 = 19400056703 =  a:1272 b:1886 c:2199
2687^3 = 19400056703 =  a:489 b:1119 c:2615
2689^3 = 19443408769 =  a:457 b:570 c:2676
2689^3 = 19443408769 =  a:943 b:1227 c:2559
2693^3 = 19530306557 =  a:941 b:1621 c:2435
2699^3 = 19661138099 =  a:515 b:1574 c:2500
2711^3 = 19924551431 =  a:894 b:1775 c:2388
2713^3 = 19968681097 =  a:1422 b:1777 c:2256
2713^3 = 19968681097 =  a:1446 b:1822 c:2217
2713^3 = 19968681097 =  a:204 b:1777 c:2430
2713^3 = 19968681097 =  a:756 b:1498 c:2529
2713^3 = 19968681097 =  a:865 b:1514 c:2512
2731^3 = 20368783891 =  a:67 b:750 c:2712
2731^3 = 20368783891 =  a:797 b:1465 c:2557
2731^3 = 20368783891 =  a:835 b:1198 c:2624
2749^3 = 20774195749 =  a:1252 b:1877 c:2302
2753^3 = 20865011777 =  a:1479 b:1815 c:2267
2753^3 = 20865011777 =  a:1497 b:1772 c:2286
2753^3 = 20865011777 =  a:36 b:566 c:2745
2753^3 = 20865011777 =  a:834 b:1065 c:2672
2767^3 = 21184951663 =  a:1030 b:1494 c:2559
2767^3 = 21184951663 =  a:103 b:2179 c:2213
2767^3 = 21184951663 =  a:66 b:1642 c:2559
2767^3 = 21184951663 =  a:783 b:2010 c:2326
2777^3 = 21415471433 =  a:1473 b:1922 c:2232
2777^3 = 21415471433 =  a:761 b:1434 c:2622
2789^3 = 21694295069 =  a:780 b:1677 c:2546
2791^3 = 21740999671 =  a:118 b:279 c:2790
2791^3 = 21740999671 =  a:39 b:594 c:2782
2791^3 = 21740999671 =  a:769 b:1879 c:2447
2797^3 = 21881515573 =  a:1704 b:1773 c:2248
2797^3 = 21881515573 =  a:261 b:2190 c:2248
2803^3 = 22022635627 =  a:976 b:1026 c:2715
2833^3 = 22737343537 =  a:1362 b:2001 c:2302
2833^3 = 22737343537 =  a:450 b:2001 c:2446
2833^3 = 22737343537 =  a:744 b:2001 c:2428
2837^3 = 22833790253 =  a:555 b:639 c:2819
2837^3 = 22833790253 =  a:587 b:1485 c:2685
2851^3 = 23173501051 =  a:590 b:1363 c:2734
2857^3 = 23320116793 =  a:424 b:577 c:2846
2857^3 = 23320116793 =  a:745 b:1360 c:2732
2857^3 = 23320116793 =  a:960 b:1318 c:2721
2861^3 = 23418203381 =  a:197 b:783 c:2841
2861^3 = 23418203381 =  a:410 b:629 c:2848
2879^3 = 23862997439 =  a:127 b:872 c:2852
2887^3 = 24062478103 =  a:1186 b:1914 c:2487
2897^3 = 24313388273 =  a:206 b:489 c:2892
2897^3 = 24313388273 =  a:953 b:1368 c:2754
2903^3 = 24464768327 =  a:1112 b:2112 c:2391
2909^3 = 24616775429 =  a:1612 b:1637 c:2522
2909^3 = 24616775429 =  a:286 b:2045 c:2522
2917^3 = 24820429213 =  a:106 b:1462 c:2789
2917^3 = 24820429213 =  a:1253 b:2044 c:2428
2917^3 = 24820429213 =  a:258 b:730 c:2901
2917^3 = 24820429213 =  a:31 b:1951 c:2591
2917^3 = 24820429213 =  a:600 b:1549 c:2754
2939^3 = 25386262019 =  a:1193 b:1485 c:2733
2957^3 = 25855561493 =  a:734 b:1308 c:2853
2963^3 = 26013270347 =  a:1035 b:2157 c:2459
2963^3 = 26013270347 =  a:1500 b:1811 c:2556
2969^3 = 26171619209 =  a:81 b:2150 c:2532
2999^3 = 26973008999 =  a:1522 b:2183 c:2354
2999^3 = 26973008999 =  a:1615 b:2222 c:2276
2999^3 = 26973008999 =  a:1840 b:1868 c:2423
2999^3 = 26973008999 =  a:278 b:2087 c:2614
2999^3 = 26973008999 =  a:496 b:2354 c:2399
